szene;titel;status;direkt_zugeordnet;nur_referenz;fehlt_noch;entscheidung
01;Die junge Erde;Teilbestand – gute Vorschaukandidaten;"Bilder/Altbestand/01_Hintergruende/Vulkanische Küste im Dämmerlicht.png — vorläufiger Hintergrundkandidat | Bilder/Altbestand/02_Effekte_Einzeln/Dampfaufstieg gegen transparenter Hintergrund.png — Dampf | Bilder/Altbestand/02_Effekte_Einzeln/dunkle Rauchwolke mit glühenden Funken.png — kleiner Rauch; sparsam einsetzen | Bilder/Altbestand/02_Effekte_Einzeln/Lava fissures im schwarzen Gestein.png — Glutspalten | Bilder/Altbestand/02_Effekte_Einzeln/Vulkanasche und glühende Funken.png — Asche/Funken | Bilder/Altbestand/02_Effekte_Einzeln/Ausbruch von glühender Lavafontäne.png — Vulkanausbruch; nur zurückhaltend";Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 1 – Die Geburt der Erde(1).png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Frühstadien der Erde – Konzeptbilder.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Die Geburt der Erde_ Eine Reise in die Vergangenheit.png | Bilder/Altbestand/01_Hintergruende/Feuerplanet im Trümmerfeld.png | Bilder/Altbestand/01_Hintergruende/Kosmische Entstehung eines Sternsystems.png;hintergrund_zeitfelsen_kueste_heute.jpg | objekt_zeitfelsen.png | objekt_kinderhand.png | overlay_goldenes_schimmern.png | endgültig freigegebener Hintergrund hintergrund_junge_erde_gluehend.jpg;Für die technische Vorschau die vulkanische Küste plus vorhandene Dampf-, Rauch- und Glut-Overlays verwenden. Zeitfelsen, Kinderhand und goldenes Schimmern bleiben offen. Keine beschriftete Montage direkt einsetzen.
02;Die Erde kühlt langsam ab;Teilbestand – Vorschau möglich;Bilder/Altbestand/01_Hintergruende/Vulkanische Küste im Dämmerlicht.png — vorläufig derselbe Kameraraum wie Szene 1 | Bilder/Altbestand/02_Effekte_Einzeln/Dampf und Rauch über glühendem Boden.png — Dampf über Lava | Bilder/Altbestand/02_Effekte_Einzeln/Dampfaufstieg gegen transparenter Hintergrund.png — zusätzliche Dampfsäule | Bilder/Altbestand/02_Effekte_Einzeln/Lavafluss über zerklüftetem Boden.png — Lavafluss | Bilder/Altbestand/02_Effekte_Einzeln/Feiner Regen mit durchsichtigen Tropfen.png — einsetzender Regen;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Prähistorische Landschaften im Zeitraffer.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Frühstadien der Erde – Konzeptbilder.png;endgültiger Hintergrund hintergrund_junge_erde_abkuehlung.jpg | eine zur Küste passende kühlere Bildvariante mit dunklen Wolken;Für die Vorschau denselben Hintergrund wie in Szene 1 verwenden und die Veränderung durch stärkeren Dampf, weniger Glut und einsetzenden Regen zeigen. Die finale kühlere Hintergrundfassung fehlt.
03;Die ersten Ozeane entstehen;Teilbestand – Hintergrund fehlt;Bilder/Altbestand/02_Effekte_Einzeln/Feiner Regen mit durchsichtigen Tropfen.png — starker Regen | Bilder/Altbestand/02_Effekte_Einzeln/Dampfaufstieg gegen transparenter Hintergrund.png — Restdampf über heißen Flächen;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Prähistorische Landschaften im Zeitraffer.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 4 – Das Erwachen des Lebens.png;hintergrund_urmeer_entstehung.jpg | overlay_wasserwellen.png | overlay_sonnenstrahl.png;Regen und Restdampf können übernommen werden. Ein einzelnes, textfreies Urmeerbild mit identischem Kamerawinkel zu Szene 2 wird weiterhin benötigt.
04;Die Ursuppe;Teilbestand – nur Effekte vorhanden;Bilder/Altbestand/02_Effekte_Einzeln/Dampfaufstieg gegen transparenter Hintergrund.png — dezenter Hintergrunddampf | Bilder/Altbestand/02_Effekte_Einzeln/Wärmeflimmern auf transparentem Hintergrund.png — Luftflimmern über heißen Steinen;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 4 – Das Erwachen des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Prähistorische Landschaften im Zeitraffer.png;hintergrund_ursuppe_lagune.jpg | overlay_wasserwellen.png | overlay_gasblasen_klein.png | overlay_organisches_schimmern.png;Dampf und Wärmeflimmern sind brauchbar. Die warme, flache Lagune und die Wasser-/Moleküleffekte fehlen als Einzeldateien.
05;Die erste Zelle;Kein direkt verwendbarer Einzelbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 4 – Das Erwachen des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfach zu komplex_ Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png;hintergrund_lagune_unterwasser_mikro.jpg | objekt_lavagestein_mineralien.png | objekt_zellblase_mit_membran.png | overlay_mineralpartikel.png | overlay_gasblasen_klein.png | overlay_lichtstrahlen_unterwasser.png;Die Übersichtstafeln dienen nur als Stil- und Inhaltsreferenz. Für die Szene werden eigenständige, unbeschriftete Mikro- und Zellmotive benötigt.
06;Das Leben breitet sich aus;Kein direkt verwendbarer Einzelbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfach zu komplex_ Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 7 – Die Reise des Lebens.png;hintergrund_lagune_unterwasser_mikro.jpg | objekt_lavagestein_mineralien.png | objekt_einzelle_einfach.png | objekt_biofilm.png | objekt_zellkolonie.png | overlay_mineralpartikel.png;Keine Montage ausschneiden oder als fertige Szene verwenden. Einzelzellen, Biofilm und Zellkolonie fehlen.
07;Die Erfinder des Sauerstoffs;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Sauerstoffrevolution_ Die Erde verändert sich.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 7 – Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfach zu komplex_ Die Reise des Lebens.png;hintergrund_flaches_urmeer_unterwasser.jpg | objekt_cyanobakterienmatte.png | objekt_stromatolith.png | overlay_gasblasen_klein.png | overlay_mineralpartikel.png | overlay_lichtstrahlen_unterwasser.png;Die vorhandenen Tafeln zeigen die gewünschte Themenwelt, enthalten aber eingebauten Text und mehrere Teilbilder. Nicht direkt einsetzen.
08;Die Sauerstoff-Revolution;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Sauerstoffrevolution_ Die Erde verändert sich.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 7 – Die Reise des Lebens.png;hintergrund_erde_sauerstoffwende.jpg | overlay_atmosphaere_gelblich.png | overlay_atmosphaere_blau.png;Die Sauerstofftafel ist Referenz, kein Hintergrundbild. Für die Szene fehlen eine textfreie Erde und die beiden Atmosphärenzustände.
09;Die Revolution in der Zelle;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfach zu komplex_ Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 7 – Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png;hintergrund_mikrowelt_komplexe_zellen.jpg | objekt_zelle_gross.png | objekt_bakterium_klein.png | objekt_mitochondrium.png | overlay_mineralpartikel.png | overlay_gasblasen_klein.png | overlay_lichtstrahlen_unterwasser.png;Die Endosymbiose braucht getrennte, bewegliche Einzelobjekte. Solche Dateien sind im Altbestand nicht enthalten.
10;Die ersten komplexen Lebewesen;Nur Referenzbestand;;Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfach zu komplex_ Die Reise des Lebens.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Von einfachem Leben zu Vielfalt.png | Bilder/Altbestand/04_Montagen_und_Infotafeln_nur_Referenz/Station 7 – Die Reise des Lebens.png;hintergrund_mikrowelt_komplexe_zellen.jpg | objekt_eukaryot_kugelig.png | objekt_eukaryot_laenglich.png | objekt_eukaryot_mit_geissel.png | objekt_eukaryot_mit_fortsaetzen.png | objekt_einzelle_einfach.png | objekt_zellkolonie.png | overlay_mineralpartikel.png | overlay_lichtstrahlen_unterwasser.png;"Die vorhandenen Übersichten sind lediglich Vorlagen für Form, Farbe und biologische Vielfalt; nicht direkt verwenden."
