id,filename,width,height,mode,actual_transparency,duplicate_copies
1,Anthropozän_ Der Einfluss des Menschen.png,1536,1024,RGB,False,0
2,Ausbruch von glühender Lavafontäne.png,1536,1024,RGBA,True,2
3,Dampf mit leuchtenden Funken.png,1536,1024,RGBA,True,0
4,Dampf und Rauch über glühendem Boden.png,1536,1024,RGBA,True,0
5,Dampf über Lava mit Funken.png,1536,1024,RGBA,True,0
6,Dampf- und Rauchplume aus Vulkanbrenner.png,1536,1024,RGBA,True,0
7,Dampfaufstieg gegen transparenter Hintergrund.png,1536,1024,RGBA,True,2
8,Dampfer des Nebels mit Glut.png,1536,1024,RGBA,True,0
9,Devon_ Das Zeitalter der Fischvielfalt.png,1536,1024,RGB,False,0
10,Dichte Dampfwolke auf transparentem Hintergrund.png,1024,1536,RGBA,True,2
11,Die Entwicklung des frühen Lebens.png,1536,1024,RGB,False,0
12,Die Geburt der Erde_ Eine Reise in die Vergangenheit.png,1566,1005,RGB,False,0
13,Diffuses Wolkenschatten auf transparentem Hintergrund.png,1536,1024,RGBA,True,1
14,dunkle Rauchwolke mit glühenden Funken.png,1536,1024,RGBA,True,0
15,Effekte für visuelle Kompositionen.png,1024,1536,RGBA,True,0
16,Entstehung von Leben im Silur.png,1536,1024,RGB,False,0
17,Explosion mit Feuer- und Rauchwelle.png,1536,1024,RGBA,True,1
18,Feiner Regen mit durchsichtigen Tropfen.png,1536,1024,RGBA,True,1
19,Feuerplanet im Trümmerfeld.png,1672,941,RGB,False,1
20,Feuriger Ausbruch in dichten Rauchwolken.png,1536,1024,RGBA,True,0
21,Feuriger Meteor mit rauchiger Spur.png,1536,1024,RGBA,True,0
22,Feuriger Meteorschweif auf transparentem Hintergrund.png,1536,1024,RGBA,True,0
23,Flammender Meteor im Flug.png,1536,1024,RGBA,True,0
24,Frühstadien der Erde – Konzeptbilder.png,1536,1024,RGB,False,0
25,Funkensprühen auf transparentem Hintergrund.png,1536,1024,RGB,False,2
26,Hitzeflimmern über Schachbrettmuster.png,1536,1024,RGBA,True,0
27,"Karbon_ Wälder, Insekten und Reptilien.png",1536,1024,RGB,False,0
28,Klarer Wassertropfensplash in der Luft.png,1536,1024,RGBA,True,0
29,Kosmische Entstehung eines Sternsystems.png,1672,941,RGB,False,1
30,Kreidezeit_ Blütenpflanzen und Dinosaurier.png,1536,1024,RGB,False,0
31,Lava fissures im schwarzen Gestein.png,1536,1024,RGBA,True,0
32,Lavafluss über zerklüftetem Boden.png,1536,1024,RGBA,True,0
33,Leuchtende Funken in einer wolkenähnlichen Formation.png,1536,1024,RGBA,True,2
34,Meteoritensturz durch die Atmosphäre(1).png,1536,1024,RGBA,True,0
35,Neolithikum_ Das Zeitalter der Bauern.png,1536,1024,RGB,False,0
36,Neolithische Revolution_ Die Entwicklung der ersten Dörfer.png,1536,1024,RGB,False,1
37,Pliozän_ Zeitalter der offenen Landschaften.png,1536,1024,RGB,False,0
38,Prähistorische Landschaften im Zeitraffer.png,1536,1024,RGB,False,0
39,Rauch- und Dampfeffekte-Überlagerungen.png,1536,1024,RGBA,True,0
40,Rauchwirbel auf transparentem Hintergrund.png,1024,1536,RGB,False,0
41,Sammlung realistischer visueller Effekte.png,1024,1536,RGBA,True,0
42,Sammlung von realistischer visueller Effekte.png,1024,1536,RGBA,True,1
43,Sanfte Nebelfontäne vor transparenter Oberfläche.png,1536,1024,RGBA,True,0
44,Sauerstoffrevolution_ Die Erde verändert sich.png,1536,1024,RGB,False,0
45,Silur – Das Leben kommt ins Wasser.png,1536,1024,RGB,False,0
46,Spezialeffekte-Überlagerungen aus Sci-Fi-Serie.png,1536,1024,RGBA,True,0
47,Station 1 – Die Geburt der Erde(1).png,1536,1024,RGB,False,0
48,Station 22 – Holocän_ Zeitalter des Menschen.png,1536,1024,RGB,False,1
49,Station 4 – Das Erwachen des Lebens.png,1536,1024,RGB,False,0
50,Station 7 – Die Reise des Lebens.png,1536,1024,RGB,False,0
51,Staubregen auf transparentem Hintergrund.png,1536,1024,RGB,False,2
52,Staubwolke auf transparentem Hintergrund.png,1536,1024,RGBA,True,2
53,VFX-Überlagerungen in Szenen dargestellt.png,1024,1536,RGBA,True,0
54,Von einfach zu komplex_ Die Reise des Lebens.png,1536,1024,RGB,False,0
55,Von einfachem Leben zu Vielfalt.png,1536,1024,RGB,False,0
56,Vulkanasche mit glühenden Funken.png,1536,1024,RGBA,True,0
57,Vulkanasche und glühende Funken.png,1536,1024,RGBA,True,1
58,Vulkanische Küste im Dämmerlicht.png,1672,941,RGB,False,0
59,Wärmeflimmern auf transparentem Hintergrund.png,1536,1024,RGBA,True,2
60,Zarte Dampfwolke vor transparentem Hintergrund.png,1024,1536,RGBA,True,0
